iata,name
APH,Aerospatiale AS332
NDE,Aerospatiale AS350
NDE,Aerospatiale AS355
NDH,Aerospatiale AS365
NDC,Aerospatiale SN601
EH1,Agusta EH101
AGH,AgustaWestland A109
AWH,AgustaWestland AW139
312,Airbus A310-200
313,Airbus A310-300
318,Airbus A318
32C,Airbus A318
319,Airbus A319
32D,Airbus A319
320,Airbus A320
32A,Airbus A320
321,Airbus A321
32B,Airbus A321
359,Airbus A350-900
332,Airbus A330-200
333,Airbus A330-300
342,Airbus A340-200
343,Airbus A340-300
345,Airbus A340-500
346,Airbus A340-600
AT3,Alenia ATR-42-300
AT4,Alenia ATR-42-400
AT5,Alenia ATR-42-500
AT6,Alenia ATR-42-600
AT7,Alenia ATR-72
AR1,Avro RJ100 Avroliner
AR7,Avro RJ70 Avroliner
AR8,Avro RJ85 Avroliner
141,Bae 146-100
142,Bae 146-200
143,Bae 146-300
J31,Bae Jetstream 31
J32,Bae Jetstream 32
J41,Bae Jetstream 41
BET,Beech King Air
733,Boeing 737-300
73C,Boeing 737-300
734,Boeing 737-400
735,Boeing 737-500
73E,Boeing 737-500
736,Boeing 737-600
73G,Boeing 737-700
73W,Boeing 737-700
738,Boeing 737-800
73H,Boeing 737-800
739,Boeing 737-900
73J,Boeing 737-900
73W,Boeing 737-BBJ
73H,Boeing 737-BBJ2
73J,Boeing 737-BBJ3
744,Boeing 747-400
748,Boeing 747-8
74L,Boeing 747-SP
752,Boeing 757-200
75W,Boeing 757-200
762,Boeing 767-200
763,Boeing 767-300
76W,Boeing 767-300
764,Boeing 767-400
772,Boeing 777-200
77L,Boeing 777-200 LR
773,Boeing 777-300
77W,Boeing 777-300 ER
788,Boeing 787-800
789,Boeing 787-900
MBH,Bolkow Bo-105
CCX,Bombardier BD700 Global 5000
CL3,Bombardier Challenger 300
CCX,Bombardier Global Express
BNI,Britten Norman BN-2
BNT,Britten Norman BN-2 Mk3
CCJ,Canadair Challenger 600
CCJ,Canadair Challenger 601
CCJ,Canadair Challenger 604
CCJ,Canadair Challenger 605
CR2,Canadair Challenger 850
CR7,Canadair Challenger 870
CR9,Canadair Challenger 890
CR1,Canadair Regional Jet 100
CRK,Canadair Regional Jet 1000
CR2,Canadair Regional Jet 200
CR7,Canadair Regional Jet 700
CRA,Canadair Regional Jet 705
CR9,Canadair Regional Jet 900
CNC,Cessna 208
CNT,Cessna 425
CNT,Cessna 441
CJ1,Cessna 500 Citation 1
CJ1,Cessna 501 Citation 1SP
CJM,Cessna 510 Citation
CJ1,Cessna 525 Citation CJ1
CJ1,Cessna 525 Citation CJ2
CJ1,Cessna 525 Citation CJ3
CJ4,Cessna 525 Citation CJ4
CJ1,Cessna 526 Citation
CJ2,Cessna 550 Citation 2
CJ2,Cessna 551 Citation 2SP
CJ5,Cessna 560 Citation Encore
CJ5,Cessna 560 Citation Ultra
CJ5,Cessna 560 Citation V
CJL,Cessna 560 Citation XL
CJL,Cessna 560 Citation XLS
CJ6,Cessna 650 Citation
CJ8,Cessna 680 Citation
CN7,Cessna 750 Citation X
DF1,Dassault Falcon 10
DF1,Dassault Falcon 100
DF2,Dassault Falcon 20
