name,city,country,IATA,ICAO,lat,lon,timezone
Goroka ,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291,10
Madang ,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,10
Mount Hagen Kagamuga ,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,10
Nadzab ,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,10
Port Moresby Jacksons Intl ,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,10
Wewak Intl ,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,10
Narsarsuaq ,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,-3
Godthaab / Nuuk ,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,-3
Kangerlussuaq ,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,-3
Akureyri ,Akureyri,Iceland,AEY,BIAR,65.66000366210938,-18.07270050048828,0
Egilsstaðir ,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.401399612426758,0
Hornafjörður ,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,0
Húsavík ,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,0
Ísafjörður ,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.135299682617188,0
Keflavik Intl ,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,0
Patreksfjörður ,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,0
Reykjavik ,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,0
Siglufjörður ,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,0
Vestmannaeyjar ,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.278900146484375,0
Sault Ste Marie ,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,-5
Winnipeg / St. Andrews ,Winnipeg,Canada,\N,CYAV,50.0564002991,-97.03250122070001,-6
Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,44.639702,-63.499401,-4
St. Anthony ,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.083099365200006,-3.5
Tofino / Long Beach ,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,-8
Kugaaruk ,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,-7
Baie Comeau ,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672,-5
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125,-5
